departure_id,hex_h3_r2,booked_ffe,booked_spot_total_freight,offered_ffe,rejected_ffe,rejected_ffe_vessel_sold_out,rejected_ffe_vessel_not_open,rejected_offer_value,rejected_offer_value_vessel_sold_out,rejected_offer_value_vessel_not_open,non_offer_ratio,hex_role
202552,823f1ffffffffff,83,316053,526,1488,894,583.5,465066.0493498769,282732.6297718284,180561.15067145583,0.7388282025819265,destination
202548,8243a7fffffffff,32.5,69754,584,2698,2126.5,20.5,289805.7062673097,262620.44511119125,3193.245578898026,0.8220597196831201,destination
202549,821f0ffffffffff,405.5,1200399,21074,40497,25422.5,11752,841409.3483709145,476299.0577490616,315142.3373864383,0.6577284760682789,destination
202549,823f5ffffffffff,25.5,77800,2068,10166,7441,1850.5,524340.5607390307,362690.64263297705,123631.4819817886,0.8309628903057054,destination
202548,822c27fffffffff,138.5,514533,3965.5,10023.5,8747.5,268.5,606537.9482316738,517616.03058234777,13924.352786583146,0.7165272714275502,destination
202601,823f1ffffffffff,7,21478,44,1204,240,958,186434.78028608096,96003.55976686087,87278.18934058218,0.9647435897435898,destination
202549,823957fffffffff,114.5,399315,4836.5,5883.5,3369,1217.5,417167.5550354051,227485.67786856595,71665.76810568942,0.5488339552238806,destination
202550,8242dffffffffff,88,312272,507,2094.5,1880.5,12,238714.36500089103,208800.9485673343,1053.2674050440328,0.8051124351335768,destination
202552,8239affffffffff,42,132968,1633,11178,7528,3532.5,2055084.8071081524,1258834.7489665104,777635.5547293165,0.8725314183123878,destination
202552,82618ffffffffff,23,40223,388,1264,1152.5,90.5,180733.52759476725,169478.57161203268,7269.975297206077,0.7651331719128329,destination
202549,823e67fffffffff,204.5,643010,4384.5,11647.5,6753.5,3258.5,733089.0255235885,408717.5425781302,235014.12781419646,0.7265157185628742,destination
202549,823f17fffffffff,247,1007445,2334.5,15096.5,8990,5325,2744042.268914706,1318434.894195218,1369552.3507637372,0.866071940795135,destination
202548,82396ffffffffff,50,160904,1106,4839.5,4060,224.5,283957.1737145393,235146.27692384247,17233.84751850098,0.8139769573627113,destination
202548,821e87fffffffff,42,156781,677.5,7211.5,6226,246.5,504104.8007679156,433665.9492142937,18049.226698896193,0.9141209278742553,destination
202552,82396ffffffffff,7.5,25854,455,3606.5,2024.5,1579.5,633173.2904810036,332887.8116160817,299959.2031290234,0.8879724239812877,destination
202552,822db7fffffffff,215.5,810064,3007,13754,7532,6105.5,2425178.8749864404,1140639.0320216708,1274050.8418015693,0.820595429866953,destination
202549,8239affffffffff,133.5,584319,4204,18955.5,10086,7896.5,1647552.3776321057,582973.0722244135,1011822.9769602073,0.8184762192620739,destination
202551,821f0ffffffffff,991,2824616,23888,29796.5,21938,6439.5,1030040.4637756777,792138.7914983991,208422.5815409574,0.5550298503292385,destination
202548,821eeffffffffff,158,562556,4725.5,18661.5,16394.5,676.5,1083775.3698259266,955721.7856276853,30962.87993443695,0.7979433018343525,destination
202548,821f0ffffffffff,1046,2843220,15929,37559,33770,188,1873044.7262165183,1732951.8737153576,8444.268615611345,0.7021948848339814,destination
202551,823877fffffffff,262,1573216,2243,1792,1275.5,472,290671.3002989443,253437.99005361964,32359.803158279552,0.44411400247831473,destination
202548,82196ffffffffff,624,1742829,13832.5,10183.5,6725.5,85.5,293926.9386594538,243378.54610756368,1637.1997803541674,0.42402981345769486,destination
202550,822c27fffffffff,93.5,362299,2533.5,13820,8397.5,4506.5,1540344.082117571,994266.2151867354,465376.7564912742,0.8450790350689454,destination
202551,821eeffffffffff,156,698152,5865,21772,15593.5,5850,2121038.206434552,1752308.1195590806,353669.1454309367,0.7877844918044651,destination
202551,823f17fffffffff,317.5,1339768,3402.5,9523,6488.5,2945,1647232.451742018,1154385.304131775,483563.95811006497,0.736760666898766,destination
202550,821eeffffffffff,115,444563,3845.5,31423.5,20108,9861.5,2808120.2059597736,1832159.5570627104,894656.6822858902,0.8909665712098443,destination
202552,821ecffffffffff,53.5,178470,2338.5,6174.5,3292,2750.5,779788.5379566291,337235.41090229986,425915.62986084993,0.725302478562199,destination
202550,822da7fffffffff,214.5,794824,6867,19007,11455,5885.5,1305007.746975714,691344.500400217,496124.34099275444,0.7345984385869986,destination
202550,82396ffffffffff,48.5,163476,1205.5,7840.5,5204.5,1999,556234.3336162718,327022.0917699871,187885.8687485697,0.8667366791952245,destination
202549,821e17fffffffff,156.5,660740,3737,8401.5,4508,2906,542442.333815025,266380.87045035866,219031.06341377605,0.692136590188244,destination
202601,822db7fffffffff,48.5,181389,660.5,7802.5,2127.5,5633.5,168231.9631556333,125200.78876434373,42427.92655801983,0.9219543896963251,destination
202549,823827fffffffff,14,78266,335.5,4869,2245.5,2530.5,455516.35792468465,172421.16929209125,277278.9862421877,0.9355365549044097,destination
202552,8243a7fffffffff,251,494436,3144.5,1799,955,293,147288.39683484632,110509.24551861372,24238.279270186045,0.3639122079498331,destination
202552,823e67fffffffff,184.5,715223,2248,4870.5,1631.5,2708,958575.8698942817,372186.35987766215,503920.6469904536,0.6842031326824471,destination
202549,821eeffffffffff,116.5,457567,4354,26471,19230.5,5754.5,1772224.7026203033,1239299.1338150357,445247.48344625963,0.8587510137875102,destination
202550,821e87fffffffff,51.5,185045,1352.5,9300,6846,1899,723445.9502690514,495456.72286210477,193622.11467574287,0.8730344989439098,destination
202548,82382ffffffffff,23,104378,137,2953.5,2612.5,91.5,248938.06484953917,222746.3291717552,5419.2189405166755,0.955670603462223,destination
202549,823f1ffffffffff,86.5,360691,989,3957,2175,1467.5,599699.5674754973,271264.20081587567,312507.49787709385,0.8000404367165386,destination
202552,823957fffffffff,266,966780,2215.5,3125,1182,1738,470882.74155561696,188191.81395900314,253918.26940132384,0.5851512030708735,destination
202551,8239affffffffff,74.5,319298,1733,15729.5,12914,2622.5,1078359.6864672469,858919.1269961477,208105.48691887828,0.9007587687902648,destination
202551,8243a7fffffffff,221.5,413311,3044,2348.5,1956,237,127377.66716857959,111146.84166550757,12174.08186025168,0.4355122855818266,destination
202551,823f1ffffffffff,115.5,518334,978,2292,1767.5,491,198116.9023130098,156109.82303033513,40201.77943549225,0.7009174311926606,destination
202548,823827fffffffff,42.5,235836,264,5385.5,4812,413,1201942.7487291216,1035813.3280791871,149121.1669424116,0.9532702009027347,destination
202548,822db7fffffffff,454.5,1461827,6037.5,15643.5,12699.5,353,1052748.5219835509,840476.2398098693,20026.509934215122,0.7215303722153037,destination
